-0.0022486	-0.00705503
-0.00273487	-0.0486886
-0.00386413	-0.00522599
-0.00568089	-0.00419103
-0.00776573	-0.0215537
-0.00158599	-0.0528016
-0.000466562	-0.0165627
-0.000399005	-0.0338831
-0.000431099	-0.0136801
0.00254686	0.0645178
0.00624767	0.0613365
0.0100178	0.0516002
0.0137904	0.0888524
0.0120934	0.10282
0.00958569	0.038482
0.00559024	0.054776
0.00169412	0.0603427
-0.00173903	0.0664344
-0.00422928	0.0459181
-0.00542016	0.0185247
-0.00608456	0.0253438
-0.00706653	0.0116518
-0.012407	0.0230163
-0.119852	0.0912891
-0.197139	0.112468
-0.273571	0.00939791
-0.317328	-0.177589
-0.325189	-0.209214
-0.314978	-0.079378
-0.285704	0.0516874
-0.266347	-0.0900137
-0.254297	-0.22332
-0.199431	-0.144851
-0.107761	-0.153649
-0.00273129	0.0882467
0.0594739	-0.257055
0.070219	-0.119406
0.040388	0.236916
-0.00156019	0.220601
-0.0361886	0.0796623
-0.0592892	0.0367676
-0.0690936	-0.0727299
-0.0654274	-0.103027
-0.0524286	-0.292923
-0.0355805	-0.133359
-0.0207741	0.0290392
-0.0113125	-0.122755
-0.00471829	-0.144489
-0.00180913	0.128242
-0.00259235	-0.042507
-0.0045104	-0.127639
-0.00566583	0.0284276
-0.00187062	-0.036481
0.00215887	0.137026
0.00374037	-0.0294713
0.00240029	-0.146856
-0.00319961	0.131587
-0.00852059	0.00676772
-0.0106971	-0.199685
-0.00975117	0.194401
-0.0077866	-0.181903
-0.0049173	0.0181296
-0.00266163	0.159771
-0.00154348	-0.186126
-0.000965145	0.0312273
-0.000321683	-0.0171622
6.18762e-05	0.169214
-1.63495e-05	-0.227205
-6.4565e-06	0.0350597
0.00035734	-0.0220397
0.00122327	-0.00814129
0.00174674	-0.023365
0.00181559	-0.0300974
0.00164998	0.150565
0.00134564	-0.140873
0.00124475	0.0629062
0.00374263	0.0228625
0.00631487	-0.00490061
0.0043775	0.182188
0.000233069	-0.153109
-0.00318175	0.153837
-0.00357873	-0.256354
-0.00229873	0.0160342
-0.00056968	-0.0351263
0.000935229	-0.00585294
0.00155207	-0.0138335
0.000915016	-0.031003
-0.000207792	0.0760011
-0.000962276	-0.0974368
-0.00104858	-0.0225299
-0.000458054	0.0297399
0.000660898	0.162175
0.0017025	-0.0109083
0.00220419	-0.194106
0.00210416	-0.0164243
0.00165358	0.0325411
0.000907804	0.153579
0.000247982	-0.224058
-0.000727184	0.0535727
-0.00163343	0.201935
-0.00268573	-0.164469
-0.00305343	0.140608
-0.0026356	-0.142899
-0.00174144	0.0249828
-0.000971545	0.168948
-0.000350809	-0.204121
0.000440618	0.165762
0.000949735	-0.0345825
0.00121433	-0.171895
0.00106094	0.222766
0.000659388	-0.0227879
0.000295758	-0.186872
-0.000263346	0.203023
-0.00121845	-0.00601052
-0.00267283	0.0440567
-0.00312047	-0.146312
-0.00232039	0.0276726
-0.000767838	0.174316
0.000680276	-0.0346097
0.00223777	0.0404916
0.00332961	-0.0496239
0.00396968	-0.170782
0.00356727	0.126593
0.00153817	-0.229868
-0.00199083	0.133537
-0.00250218	-0.221432
-0.00210704	0.201967
-0.00279553	0.0887085
-0.00377564	-0.0967686
-0.00463626	0.000421671
-0.00438085	-0.0156786
-0.00346778	0.00106543
-0.00296193	-0.150313
-0.00245499	-0.0216545
-0.0024917	0.0107375
-0.00322284	0.172329
-0.004177	-0.0530807
-0.00481529	-0.0354809
-0.00508503	0.138039
-0.00478718	0.285039
-0.0042982	0.00971145
-0.00360803	0.287806
-0.00282927	0.0505342
-0.00184692	-0.0608594
-0.000562794	0.127642
0.000435702	-0.119202
0.000774012	0.0799724
0.00018465	0.0814361
-1.93247e-05	-0.106906
0.000209414	0.0224654
-8.18562e-05	0.019051
0.000811052	0.0514332
0.0311402	-0.09416
0.0968816	-0.0741307
0.187036	0.269801
0.257603	0.0405452
0.261865	0.0391443
0.195526	0.0795036
0.117377	0.0422632
0.110921	0.326575
0.161037	0.0947379
0.210989	-0.0932645
0.242726	-0.000328308
0.223079	-0.108335
0.177847	-0.00541517
0.100303	-0.0299498
0.0332828	0.377761
-0.00450405	0.10176
-0.0114644	0.512571
0.000861867	0.224562
0.0144586	0.132313
0.0219145	0.0479417
0.0231441	-0.0849081
0.0203771	-0.0664188
0.0145623	-0.186554
0.00924989	-0.0199432
0.00562563	-0.0096065
0.00188289	-0.00907818
-0.00190327	0.152099
-0.00488363	-0.180873
-0.00784248	0.0390987
-0.0098026	-0.0104193
-0.0101083	0.0177605
-0.00888949	0.15252
-0.00680301	-0.16761
-0.00397392	0.168066
-0.00172841	-0.18369
0.000226664	0.019139
0.000581205	0.165867
0.000109526	-0.168805
-0.000914253	-0.0171784
-0.0017936	0.0347543
-0.00218642	0.00865318
-0.00221845	0.0331394
-0.00207805	0.168255
-0.00197789	-0.190058
-0.00224178	0.0330129
-0.00293795	0.0347773
-0.00330184	0.0149731
-0.00347924	0.0221592
-0.00368313	0.0260892
-0.00393709	0.19145
-0.00416241	-0.171375
-0.00426029	0.20894
-0.004257	-0.0258724
-0.00426325	-0.170183
-0.00407801	-0.0378897
-0.00336199	0.0043148
-0.00249381	0.139487
-0.00140481	-0.0838939
-0.00027201	-0.00763898
0.000571736	-0.211938
