-0.00220787	0.0205112	2.06013	-0.0072892
-0.00304945	0.0009882	2.06883	-0.0290291
-0.00555225	-0.0164249	2.07701	0.0209331
-0.00859823	-0.0241612	2.08888	-0.0280481
-0.00307129	0.0072731	2.11853	-0.0172999
-0.00112735	0.00836282	2.11724	-0.0232619
-0.000473235	0.00595059	2.11619	-0.0289088
-0.000635787	0.00222089	2.11565	-0.0458224
-0.00133867	-0.00264551	2.11591	-0.0401249
-0.00255325	-0.0076027	2.11721	-0.0242808
-0.00382577	-0.0113892	2.11949	-0.0397963
-0.00556424	-0.0143115	2.12228	-0.0134556
-0.00660673	-0.0156074	2.12243	-0.0436804
-0.00607312	-0.015621	2.11918	-0.0475349
-0.000601633	-0.0128758	2.10899	-0.00783997
0.00236183	-0.0112972	2.10496	0.00502187
0.00513843	-0.00953501	2.10218	-0.0143014
0.00736734	-0.00801107	2.10198	-0.0170234
0.00883374	-0.0068925	2.10341	-0.00502721
0.00985135	-0.00563935	2.1061	0.0271482
0.0100831	-0.00428569	2.10893	0.0104192
0.00989055	-0.00267616	2.11021	0.0106602
0.00946031	7.14557e-06	2.11033	0.0238997
0.00848695	0.00353617	2.10937	0.0738822
0.00763806	0.00713694	2.10903	0.0638784
0.00716384	0.00979952	2.11009	0.0670504
0.00665085	0.0122619	2.11232	0.0654231
0.00640247	0.0139469	2.11639	0.0778182
0.00603023	0.0137343	2.12021	0.00671887
0.00481786	0.0124286	2.12247	0.0343404
0.00181541	0.0102971	2.12154	0.0346431
-0.00213898	0.00845368	2.11804	0.00908634
-0.00625964	0.00724781	2.11312	-0.00358613
-0.0103494	0.00666039	2.10982	-0.0141889
-0.0131906	0.00659688	2.11038	-0.00531039
-0.0238924	0.0131032	2.11228	-0.0287447
-0.138058	0.0783526	2.09397	0.115712
-0.204964	0.11169	2.05988	0.0809472
-0.273208	0.131003	1.98395	0.00753234
-0.31498	0.107603	1.8562	-0.2134
-0.327531	0.0396368	1.70728	-0.136909
-0.318762	-0.0595841	1.58175	-0.0198019
-0.286563	-0.149088	1.506	0.152114
-0.261334	-0.198469	1.45973	-0.132483
-0.236184	-0.223897	1.38551	-0.101185
-0.17189	-0.217497	1.2709	0.00966612
-0.0989519	-0.191732	1.13598	-0.329256
-0.0114988	-0.138988	0.948641	0.123578
0.0425987	-0.0838795	0.787726	-0.564728
0.047948	-0.0400497	0.608552	-0.0280979
0.0176381	-0.0227843	0.46401	0.368403
-0.0126107	-0.022371	0.36474	-0.0653585
-0.0409691	-0.0332992	0.271864	0.248523
-0.0553582	-0.0458155	0.209677	-0.0102632
-0.0617988	-0.0581796	0.154595	-0.211865
-0.0593325	-0.0695267	0.101781	0.0879381
-0.0509553	-0.0785762	0.0628648	-0.14021
-0.039093	-0.0841473	0.0287564	-0.139161
-0.0252718	-0.0854767	-0.0045086	-0.283186
-0.0139033	-0.0815292	-0.0305437	-0.00621779
-0.00697705	-0.0734386	-0.0452312	-0.251891
-0.00415839	-0.0647576	-0.0496508	-0.0274055
-0.00412118	-0.0586621	-0.0479951	0.196565
-0.00512609	-0.0561466	-0.047358	-0.181252
-0.00638134	-0.0552221	-0.0544497	0.025532
-0.00463573	-0.0543325	-0.0693094	0.157736
-0.00195778	-0.0542916	-0.0796973	-0.178407
-3.33022e-05	-0.0550695	-0.0785054	-0.00120744
-0.00129855	-0.0562189	-0.0564259	-0.0751915
-0.0070894	-0.0569783	-0.0213524	0.0720274
-0.012717	-0.056633	0.00503331	-0.140747
-0.0157834	-0.0553856	0.018982	-0.278911
-0.0145687	-0.0534365	0.0180906	0.114845
-0.0122798	-0.0527791	0.00849109	-0.123017
-0.010512	-0.0495744	-0.00445971	-0.139483
-0.0108229	-0.0450652	-0.0183341	-0.0317847
-0.0124925	-0.0415734	-0.0267969	0.00194503
-0.0140714	-0.0385962	-0.0318422	-0.215415
-0.015421	-0.0357107	-0.0342439	0.0441876
-0.0162925	-0.0342079	-0.0348243	-0.210294
-0.0166966	-0.0340028	-0.0359508	-0.101852
-0.0166406	-0.0354654	-0.0387293	-0.16988
-0.0168438	-0.0393947	-0.0441992	-0.0848925
-0.0168634	-0.0428947	-0.0526536	-0.240287
-0.0157035	-0.0461724	-0.0644863	0.0439673
-0.013625	-0.0470399	-0.0793845	-0.0839227
-0.0121156	-0.0471009	-0.0953297	-0.120674
-0.0108614	-0.0475269	-0.11968	-0.112268
-0.00837286	-0.0482629	-0.152829	-0.220813
-0.00222817	-0.0502307	-0.186702	0.0771923
0.00309115	-0.0470786	-0.207158	-0.155281
0.00586189	-0.0428511	-0.211284	-0.0772793
0.00611207	-0.0421863	-0.194391	0.118438
0.00537201	-0.0447306	-0.162339	-0.273437
0.002353	-0.0468129	-0.106548	-0.120576
-0.00337772	-0.0517284	-0.0422653	-0.146722
-0.0097668	-0.0542529	0.0116508	-0.0861678
-0.0128861	-0.0558917	0.0402533	0.0139657
-0.0127956	-0.0560432	0.0406346	-0.305481
-0.00961332	-0.0560412	0.0201107	-0.11475
-0.00563051	-0.0552037	-0.0094021	-0.0604907
-0.00415736	-0.0531007	-0.0336503	-0.147162
-0.00500891	-0.0499756	-0.0477666	-0.0333294
-0.00733341	-0.0460346	-0.0514663	0.120503
-0.00958699	-0.0433392	-0.0498936	-0.129985
-0.0114428	-0.0413739	-0.0472385	-0.210565
-0.0121732	-0.0414469	-0.0461133	0.0814315
-0.0110588	-0.0419064	-0.0485738	-0.131286
-0.00889697	-0.0431282	-0.0547246	-0.264073
-0.00599335	-0.044408	-0.0663033	-0.0869663
-0.00377175	-0.0457374	-0.0829628	-0.0921722
-0.00268241	-0.0483148	-0.105343	-0.128158
0.000406814	-0.0504824	-0.135505	-0.142231
0.0056428	-0.0526552	-0.161195	0.0275846
0.008992	-0.052292	-0.171705	-0.0929987
0.00853029	-0.0460632	-0.165275	-0.214001
0.00320308	-0.0392625	-0.135326	0.124371
-0.00243747	-0.0376945	-0.0951617	-0.203636
-0.0107405	-0.0403628	-0.0371422	-0.0111852
-0.0186172	-0.0424555	0.0121277	0.100281
-0.021754	-0.0431882	0.0352829	-0.205043
-0.0207086	-0.0459035	0.0354913	0.00690166
-0.0148425	-0.0475035	0.013663	-0.0987005
-0.00947278	-0.0484913	-0.0132181	-0.149218
-0.00716418	-0.0498096	-0.0348996	-0.158535
-0.00757838	-0.0544656	-0.045134	0.0538741
-0.00965232	-0.0570149	-0.047567	-0.304553
-0.0125789	-0.0557816	-0.0461082	-0.110576
-0.0145784	-0.0527893	-0.0440156	-0.0817908
-0.016062	-0.0484602	-0.0448321	-0.0255095
-0.0164477	-0.044141	-0.0502226	-0.074066
-0.0157754	-0.0423398	-0.060231	-0.127243
-0.0142704	-0.0419811	-0.074426	0.147787
-0.0123724	-0.0416307	-0.0896288	-0.260822
-0.0095342	-0.0430955	-0.112847	0.110883
-0.00711073	-0.0439506	-0.138414	-0.111707
-0.00328693	-0.0455463	-0.166944	-0.240671
0.0015389	-0.0486943	-0.194472	0.0761274
0.00359265	-0.0492572	-0.204381	-0.320251
0.00294125	-0.0454226	-0.193686	-0.097876
-0.000856371	-0.0408309	-0.15944	-0.134758
-0.00559102	-0.0394345	-0.104356	-0.12926
-0.0122984	-0.0405767	-0.0433991	-0.190182
-0.020042	-0.0437717	0.00974393	-0.151281
-0.0238794	-0.045595	0.0377094	-0.175698
-0.0226051	-0.0471398	0.0364424	-0.137597
-0.0166111	-0.0495675	0.0130201	-0.157353
-0.00987498	-0.0507532	-0.0177391	-0.101396
-0.00645953	-0.0486637	-0.0419001	-0.164014
-0.00616589	-0.0287936	-0.0527536	-0.0103481
-0.0109492	0.0360492	-0.0537518	-0.0324413
-0.0170961	0.111961	-0.0498773	0.109129
-0.0198487	0.145568	-0.0457048	0.282721
-0.0207994	0.153266	-0.0445555	-0.0522694
-0.0217982	0.149712	-0.0477222	-0.0285148
-0.0230069	0.138291	-0.0562596	-0.00224314
-0.0245068	0.124026	-0.068613	-0.136046
-0.0261686	0.109022	-0.0844588	-0.052169
-0.0280588	0.0969051	-0.10199	0.0423161
-0.029787	0.0891596	-0.118029	-0.101663
-0.0320032	0.0830307	-0.135836	-0.0347726
-0.0345766	0.0773242	-0.158558	-0.0480046
-0.0351546	0.0620399	-0.185674	-0.00948292
0.000588789	0.0696915	-0.214169	-0.0397194
0.0761138	0.102467	-0.231131	0.0606804
0.1631	0.145117	-0.22625	0.147303
0.209095	0.182544	-0.198553	0.130089
0.167152	0.194681	-0.157428	0.0477932
0.109129	0.152421	-0.114883	0.0138178
0.0476807	0.089307	-0.0594546	0.049906
0.0484309	0.0476663	0.0239793	0.119147
0.123709	0.024884	0.124336	-0.0778784
0.218819	-0.00407188	0.231869	-0.324111
0.307631	-0.0505746	0.354058	-0.377293
0.338321	-0.105278	0.485065	-0.36281
0.311665	-0.155807	0.604958	-0.522005
0.226874	-0.177891	0.770576	-0.397789
0.128621	-0.161923	0.938179	-0.301058
0.048235	-0.108893	1.09371	-0.0714906
0.0062617	-0.0433184	1.22246	0.265387
0.00745584	-0.0165974	1.31156	-0.00833903
0.0257482	-0.010666	1.39368	0.143661
0.0429434	-0.019422	1.45818	0.0904805
0.0516473	-0.035099	1.5073	0.141531
0.0519501	-0.0498527	1.5399	-0.117076
0.0459468	-0.0643325	1.56743	-0.236721
0.0343349	-0.0714533	1.58899	0.0519939
0.0247441	-0.0750313	1.59797	-0.145679
0.0146023	-0.0770689	1.59649	-0.231237
0.0080612	-0.0730129	1.58417	-0.120702
0.00449057	-0.0675871	1.56864	-0.0814212
0.00248736	-0.0632308	1.55667	0.0908734
0.00182483	-0.0581724	1.5514	-0.253234
0.00141641	-0.0524814	1.55076	-0.0822219
0.00125458	-0.0503018	1.55419	-0.049739
0.000214538	-0.0429063	1.55966	-0.0727698
0.000485027	-0.0366685	1.56363	-0.0459104
0.000951485	-0.0355928	1.56555	0.0978982
0.00168259	-0.0383935	1.56585	-0.088889
0.00299253	-0.041853	1.56523	-0.25895
0.00431018	-0.0435421	1.56405	-0.0934859
0.00492102	-0.0462311	1.56309	-0.075237
0.00593828	-0.0466303	1.56283	0.0906821
0.00712832	-0.046754	1.56319	-0.0654333
0.0080194	-0.043437	1.56389	-0.016831
0.0092311	-0.0407904	1.56478	0.0424175
0.00901635	-0.0402406	1.56562	0.0162322
0.00847383	-0.0406908	1.56634	-0.0141159
0.00817011	-0.0418174	1.56669	0.0466208
0.00812091	-0.0429495	1.56687	-0.191782
0.008577	-0.0444694	1.56692	-0.11634
0.00872899	-0.0481836	1.56684	-0.046182
0.00870589	-0.0531194	1.56678	-0.210068
0.00890561	-0.0554868	1.56689	-0.0508064
0.00885569	-0.0573839	1.56709	-0.0355555
0.0084576	-0.0588785	1.56747	-0.0162859
0.00797063	-0.0569587	1.56777	0.169883
